Latitude (deg.): 41.313
Longitude (deg.): -105.581

A		H_hor		A_sun(w)		H_sun(w)		A_sun(s)		H_sun(s)
-180.0		0.8		-180.0		0.0		-180.0		0.0
-172.5		0.8		-158.3		0.0		-172.4		0.0
-165.0		1.1		-140.3		0.0		-165.0		0.0
-157.5		1.1		-126.6		0.0		-157.8		0.0
-150.0		1.1		-116.2		0.0		-150.9		0.0
-142.5		1.5		-108.0		0.0		-144.4		0.0
-135.0		1.9		-101.3		0.0		-138.3		0.0
-127.5		2.3		-95.5		0.0		-132.5		0.0
-120.0		1.9		-90.3		0.0		-127.1		0.0
-112.5		2.3		-85.5		0.0		-122.1		0.0
-105.0		2.3		-80.9		0.0		-117.2		4.8
-97.5		2.3		-76.4		0.0		-112.6		9.9
-90.0		2.7		-72.0		0.0		-108.0		15.2
-82.5		2.3		-67.4		0.0		-103.6		20.6
-75.0		2.3		-62.8		0.0		-99.1		26.2
-67.5		2.3		-57.9		0.1		-94.5		31.8
-60.0		1.9		-52.9		4.7		-89.7		37.4
-52.5		1.9		-47.5		9.0		-84.5		43.0
-45.0		1.9		-41.7		13.0		-78.7		48.6
-37.5		1.5		-35.6		16.5		-72.0		54.0
-30.0		1.1		-29.1		19.5		-63.8		59.3
-22.5		1.1		-22.2		22.0		-53.4		64.1
-15.0		0.4		-15.0		23.8		-39.7		68.2
-7.5		0.4		-7.6		24.9		-21.7		71.1
0.0		0.4		0.0		25.2		0.0		72.1
7.5		0.8		7.6		24.9		21.7		71.1
15.0		0.8		15.0		23.8		39.7		68.2
22.5		0.8		22.2		22.0		53.4		64.1
30.0		0.4		29.1		19.5		63.8		59.3
37.5		0.8		35.6		16.5		72.0		54.0
45.0		0.4		41.7		13.0		78.7		48.6
52.5		0.4		47.5		9.0		84.5		43.0
60.0		0.4		52.9		4.7		89.7		37.4
67.5		0.8		57.9		0.1		94.5		31.8
75.0		0.8		62.8		0.0		99.1		26.2
82.5		0.8		67.4		0.0		103.6		20.6
90.0		0.8		72.0		0.0		108.0		15.2
97.5		1.1		76.4		0.0		112.6		9.9
105.0		1.1		80.9		0.0		117.2		4.8
112.5		1.1		85.5		0.0		122.1		0.0
120.0		1.1		90.3		0.0		127.1		0.0
127.5		0.8		95.5		0.0		132.5		0.0
135.0		0.8		101.3		0.0		138.3		0.0
142.5		0.8		108.0		0.0		144.4		0.0
150.0		1.1		116.2		0.0		150.9		0.0
157.5		1.1		126.6		0.0		157.8		0.0
165.0		1.1		140.3		0.0		165.0		0.0
172.5		0.8		158.3		0.0		172.4		0.0
180.0		0.8		180.0		0.0		180.0		0.0

A: Azimuth (0 = S, 90 = W, -90 = E) (degree)
H_hor: Horizon height (degree)
A_sun(w): Sun azimuth in the winter solstice (Dec 21) (0 = S, 90 = W, -90 = E) (degree)
H_sun(w): Sun height in the winter solstice (Dec 21) (degree)
A_sun(s): Sun azimuth in the summer solstice (June 21) (0 = S, 90 = W, -90 = E) (degree)
H_sun(s): Sun height in the summer solstice (June 21) (degree)

PVGIS (c) European Union, 2001-2024
