Latitude (decimal degrees): 41.313
Longitude (decimal degrees): -105.581
Elevation (m): 2197.0
month,year
1,2015
2,2014
3,2007
4,2008
5,2005
6,2009
7,2014
8,2009
9,2010
10,2009
11,2007
12,2007
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20150101:0000,-15.32,49.0,0.0,-0.0,0.0,159.83,3.69,264.0,78799.0
20150101:0100,-15.83,46.71,0.0,-0.0,0.0,158.63,3.25,246.0,78745.0
20150101:0200,-16.34,44.42,0.0,-0.0,0.0,157.42,2.8,244.0,78768.0
20150101:0300,-16.85,42.12,0.0,-0.0,0.0,156.21,2.35,238.0,78745.0
20150101:0400,-17.36,39.83,0.0,-0.0,0.0,155.01,1.91,234.0,78699.0
20150101:0500,-17.87,37.54,0.0,-0.0,0.0,153.8,1.46,227.0,78699.0
20150101:0600,-18.38,35.25,0.0,-0.0,0.0,152.59,1.01,226.0,78623.0
20150101:0700,-18.89,32.95,0.0,-0.0,0.0,151.39,0.57,237.0,78538.0
20150101:0800,-25.8,60.2,0.0,-0.0,0.0,157.6,2.14,242.0,78439.0
20150101:0900,-26.21,61.0,0.0,-0.0,0.0,157.4,2.0,249.0,78370.0
20150101:1000,-26.69,61.85,0.0,-0.0,0.0,157.2,2.07,251.0,78515.0
20150101:1100,-27.3,63.65,0.0,-0.0,0.0,157.2,2.14,246.0,78401.0
20150101:1200,-28.08,65.75,0.0,-0.0,0.0,157.0,2.28,236.0,78286.0
20150101:1300,-28.33,66.8,0.0,-0.0,0.0,156.6,2.21,234.0,78247.0
20150101:1400,-27.66,65.55,0.0,-0.0,0.0,156.6,2.0,246.0,78278.0
20150101:1500,-26.23,61.75,39.0,179.21,26.0,157.8,2.0,255.0,78339.0
20150101:1600,-22.73,54.3,221.0,833.21,39.0,159.8,1.72,248.0,78401.0
20150101:1700,-17.23,42.25,359.0,937.17,48.0,162.4,1.38,242.0,78408.0
20150101:1800,-12.9,35.45,449.0,977.61,53.0,166.2,1.03,258.0,78339.0
20150101:1900,-10.36,35.75,482.0,988.23,54.0,170.0,1.17,275.0,78217.0
20150101:2000,-11.54,54.0,456.0,973.37,53.0,172.6,1.59,323.0,78148.0
20150101:2100,-10.57,59.2,374.0,930.82,49.0,176.4,2.0,329.0,78125.0
20150101:2200,-10.82,65.0,244.0,835.73,41.0,178.4,1.93,323.0,78255.0
20150101:2300,-11.34,64.3,87.0,595.05,26.0,180.4,1.66,308.0,78293.0
20150102:0000,-11.05,60.65,0.0,-0.0,0.0,184.2,1.45,288.0,78309.0
20150102:0100,-11.59,63.0,0.0,-0.0,0.0,187.0,1.52,276.0,78324.0
20150102:0200,-12.53,67.05,0.0,-0.0,0.0,194.2,1.59,271.0,78362.0
20150102:0300,-13.62,71.7,0.0,-0.0,0.0,203.8,1.66,270.0,78362.0
20150102:0400,-14.38,75.6,0.0,-0.0,0.0,210.6,1.72,270.0,78332.0
20150102:0500,-14.9,79.0,0.0,-0.0,0.0,213.4,1.79,270.0,78362.0
20150102:0600,-15.35,81.85,0.0,-0.0,0.0,220.2,1.86,263.0,78378.0
20150102:0700,-16.88,83.45,0.0,-0.0,0.0,215.4,1.93,256.0,78385.0
20150102:0800,-17.82,84.45,0.0,-0.0,0.0,211.0,1.93,251.0,78370.0
20150102:0900,-18.9,84.85,0.0,-0.0,0.0,201.4,2.07,242.0,78332.0
20150102:1000,-20.36,83.9,0.0,-0.0,0.0,186.0,2.14,240.0,78370.0
20150102:1100,-21.29,83.2,0.0,-0.0,0.0,186.2,2.07,244.0,78316.0
20150102:1200,-21.67,83.25,0.0,-0.0,0.0,189.2,2.14,243.0,78263.0
20150102:1300,-21.78,83.75,0.0,-0.0,0.0,188.8,2.21,239.0,78232.0
20150102:1400,-21.91,84.2,0.0,-0.0,0.0,187.2,2.41,235.0,78217.0
20150102:1500,-21.16,84.1,2.0,0.0,2.0,205.2,2.28,233.0,78247.0
20150102:1600,-19.96,80.5,15.0,0.0,15.0,191.4,2.14,232.0,78255.0
20150102:1700,-17.07,76.75,70.0,0.0,70.0,185.8,2.07,232.0,78232.0
20150102:1800,-13.19,73.35,152.0,12.31,147.0,186.0,2.14,232.0,78140.0
20150102:1900,-9.96,71.35,108.0,0.0,108.0,190.0,2.21,242.0,77972.0
20150102:2000,-7.55,69.0,154.0,12.03,149.0,190.4,2.21,242.0,77788.0
20150102:2100,-6.26,68.0,375.0,928.53,49.0,191.0,2.21,246.0,77643.0
20150102:2200,-5.79,65.25,246.0,836.54,41.0,192.6,2.69,252.0,77666.0
20150102:2300,-6.59,65.4,90.0,610.69,26.0,191.0,3.03,253.0,77643.0
20150103:0000,-8.3,67.7,0.0,-0.0,0.0,189.0,3.1,251.0,77620.0
20150103:0100,-9.69,69.35,0.0,-0.0,0.0,186.8,3.24,250.0,77627.0
20150103:0200,-10.69,70.6,0.0,-0.0,0.0,186.0,3.38,252.0,77604.0
20150103:0300,-11.44,72.0,0.0,-0.0,0.0,185.4,3.38,255.0,77581.0
20150103:0400,-11.93,72.9,0.0,-0.0,0.0,186.4,3.38,255.0,77551.0
20150103:0500,-12.23,73.2,0.0,-0.0,0.0,185.8,3.38,256.0,77497.0
20150103:0600,-12.82,74.35,0.0,-0.0,0.0,186.2,3.24,257.0,77520.0
20150103:0700,-14.25,77.15,0.0,-0.0,0.0,184.2,3.03,251.0,77558.0
20150103:0800,-14.85,77.55,0.0,-0.0,0.0,184.4,3.03,255.0,77589.0
20150103:0900,-15.54,78.65,0.0,-0.0,0.0,185.4,2.97,256.0,77612.0
20150103:1000,-16.27,79.5,0.0,-0.0,0.0,186.6,2.76,255.0,77352.0
20150103:1100,-17.13,80.5,0.0,-0.0,0.0,187.8,2.69,254.0,77428.0
20150103:1200,-17.73,81.0,0.0,-0.0,0.0,193.0,2.55,254.0,77413.0
20150103:1300,-17.65,80.95,0.0,-0.0,0.0,206.6,2.34,256.0,77428.0
20150103:1400,-17.55,80.95,0.0,-0.0,0.0,205.6,2.21,256.0,77459.0
20150103:1500,-17.33,80.75,39.0,193.05,25.0,205.8,2.14,258.0,77543.0
20150103:1600,-15.15,78.4,30.0,0.0,30.0,213.0,1.79,277.0,77604.0
20150103:1700,-12.82,78.85,37.0,0.0,37.0,224.6,1.93,322.0,77658.0
20150103:1800,-9.49,80.0,24.0,0.0,24.0,247.2,2.62,347.0,77735.0
