type	82(82)	81(81)	79(79)	78(78)	77(77)	76(76)	72(72)	71(71)	63(63)	62(62)	59(59)	54(54)	49(49)	48(48)	47(47)	46(46)	45(45)	44(44)	43(43)	40(40)	38(38)	36(36)	35(35)	
floorArea(m2)	2404.62	965.68	392.52	2707.01	6325.47	1852.41	2612	5926.12	1654.11	8159.91	1740.48	4155.78	877.982	7800.96	2616.5	2650.74	1030.03	506.138	839.428	1832.21	4171.44	5047.75	431.537	
floorNRE(MJ)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
floorGWP(kgCO2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
floorUBP(points)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
roofArea(m2)	2404.62	965.68	392.52	2707.01	6325.47	1852.41	2612	5926.11	1654.11	8159.91	1740.48	4155.78	877.982	7800.96	2616.5	2650.74	1030.03	506.138	839.428	1832.21	4171.44	5047.75	431.537	
roofPVArea(m2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
roofNRE(MJ)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
roofGWP(kgCO2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
roofUBP(points)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
wallArea(m2)	2095.36	1202.49	511.073	2325.62	4867.13	1990.73	432.257	5338.21	1290.87	7045.15	2012.16	4954.28	1260.52	691.528	1795.8	3757.36	1147.85	838.75	1282.09	3642.96	700.373	687.371	447.259	
wallPVArea(m2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
wallNRE(MJ)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
wallGWP(kgCO2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
wallUBP(points)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
windowsArea(m2)	698.454	400.83	170.358	775.207	1622.38	663.577	144.086	1779.4	860.582	2348.38	670.719	1651.43	420.174	372.361	966.972	1252.45	382.615	279.583	427.363	1214.32	233.458	458.248	149.086	
