#day	hour	Tout	Td	Tg	Tsky	Pa	g_vs_ab
1	1	-15.32	-23.8042	-15.5132	-30.8097	75.7225	0.010000
1	2	-15.83	-24.8284	-15.5132	-31.4362	75.6788	0.010000
1	3	-16.34	-25.8733	-15.5132	-32.0903	75.6349	0.010000
1	4	-16.85	-26.9439	-15.5132	-32.7658	75.5909	0.010000
1	5	-17.36	-28.0375	-15.5132	-33.4543	75.5468	0.010000
1	6	-17.87	-29.1597	-15.5132	-34.1465	75.5025	0.010000
1	7	-18.38	-30.3142	-15.5132	-34.8321	75.458	0.010000
1	8	-18.89	-31.5087	-15.5132	-35.5011	75.4134	0.010000
1	9	-25.8	-31.4138	-15.5132	-42.0989	74.7938	0.010000
1	10	-26.21	-31.6631	-15.5132	-42.5802	74.7561	0.010000
1	11	-26.69	-31.9733	-15.5132	-43.0971	74.7118	0.010000
1	12	-27.3	-32.2499	-15.5132	-43.6982	74.6554	0.010000
1	13	-28.08	-32.652	-15.5132	-44.4258	74.5828	0.010000
1	14	-28.33	-32.7235	-15.5132	-44.6089	74.5595	0.010000
1	15	-27.66	-32.2803	-15.5132	-43.879	74.6219	0.010000
1	16	-26.23	-31.5503	-15.5132	-42.3962	74.7542	0.300000
1	17	-22.73	-29.6194	-15.5132	-38.8849	75.0727	0.300000
1	18	-17.23	-27.2601	-15.5132	-33.4238	75.5581	0.300000
1	19	-12.9	-25.2763	-15.5132	-29.0502	75.9278	0.300000
1	20	-10.36	-22.8756	-15.5132	-26.301	76.1399	0.300000
1	21	-11.54	-19.1158	-15.5132	-26.8858	76.0418	0.300000
1	22	-10.57	-17.091	-15.5132	-25.6207	76.1225	0.300000
1	23	-10.82	-16.192	-15.5132	-25.679	76.1018	0.300000
1	24	-11.34	-16.8227	-15.5132	-26.239	76.0585	0.300000
2	1	-11.05	-17.2546	-15.7419	-26.0411	76.0826	0.010000
2	2	-11.59	-17.3099	-15.7419	-26.6156	76.0376	0.010000
2	3	-12.53	-17.4579	-15.7419	-27.6136	75.959	0.010000
2	4	-13.62	-17.7003	-15.7419	-28.7916	75.8671	0.010000
2	5	-14.38	-17.7993	-15.7419	-29.6569	75.8026	0.010000
2	6	-14.9	-17.776	-15.7419	-30.2891	75.7584	0.010000
2	7	-15.35	-17.7892	-15.7419	-30.8594	75.7199	0.300000
2	8	-16.88	-19.0595	-15.7419	-32.5946	75.5883	0.300000
2	9	-17.82	-19.8423	-15.7419	-33.6874	75.5068	0.300000
2	10	-18.9	-20.8496	-15.7419	-34.9052	75.4126	0.300000
2	11	-20.36	-22.4184	-15.7419	-36.4968	75.284	0.300000
2	12	-21.29	-23.4301	-15.7419	-37.4866	75.2015	0.300000
2	13	-21.67	-23.7967	-15.7419	-37.8585	75.1676	0.300000
2	14	-21.78	-23.836	-15.7419	-37.9106	75.1578	0.300000
2	15	-21.91	-23.9023	-15.7419	-37.9517	75.1462	0.300000
2	16	-21.16	-23.1779	-15.7419	-37.0666	75.2131	0.300000
2	17	-19.96	-22.5066	-15.7419	-35.7401	75.3194	0.300000
2	18	-17.07	-20.2405	-15.7419	-32.6345	75.5719	0.300000
2	19	-13.19	-17.0078	-15.7419	-28.4282	75.9034	0.300000
2	20	-9.96	-14.216	-15.7419	-24.8372	76.173	0.300000
2	21	-7.55	-12.3058	-15.7419	-22.1328	76.3704	0.300000
2	22	-6.26	-11.2472	-15.7419	-20.6402	76.4749	0.300000
2	23	-5.79	-11.3192	-15.7419	-20.1496	76.5127	0.300000
2	24	-6.59	-12.0575	-15.7419	-21.0152	76.4482	0.300000
3	1	-8.3	-13.2672	-15.9648	-22.8545	76.3093	0.010000
3	2	-9.69	-14.3075	-15.9648	-24.3902	76.1953	0.010000
3	3	-10.69	-15.0529	-15.9648	-25.5379	76.1125	0.010000
3	4	-11.44	-15.5373	-15.9648	-26.4342	76.0502	0.010000
3	5	-11.93	-15.8601	-15.9648	-27.0786	76.0092	0.010000
3	6	-12.23	-16.1009	-15.9648	-27.5409	75.9841	0.010000
3	7	-12.82	-16.4837	-15.9648	-28.2964	75.9346	0.010000
3	8	-14.25	-17.4274	-15.9648	-29.9083	75.8137	0.010000
3	9	-14.85	-17.9505	-15.9648	-30.6577	75.7626	0.010000
3	10	-15.54	-18.4551	-15.9648	-31.4607	75.7036	0.010000
3	11	-16.27	-19.0404	-15.9648	-32.2761	75.641	0.010000
3	12	-17.13	-19.7336	-15.9648	-33.1873	75.5667	0.300000
3	13	-17.73	-20.2482	-15.9648	-33.7923	75.5147	0.300000
3	14	-17.65	-20.1771	-15.9648	-33.6535	75.5216	0.300000
3	15	-17.55	-20.079	-15.9648	-33.4601	75.5303	0.300000
3	16	-17.33	-19.8927	-15.9648	-33.1168	75.5494	0.300000
3	17	-15.15	-18.1122	-15.9648	-30.7117	75.737	0.300000
3	18	-12.82	-15.7656	-15.9648	-28.0517	75.9346	0.300000
3	19	-9.49	-12.3289	-15.9648	-24.2289	76.2117	0.300000
3	20	-7.19	-9.55978	-15.9648	-21.4322	76.3997	0.300000
3	21	-8.45	-10.3314	-15.9648	-22.6518	76.2971	0.300000
3	22	-9.9	-11.7244	-15.9648	-24.1794	76.1779	0.300000
3	23	-11.19	-13.1711	-15.9648	-25.5828	76.071	0.300000
3	24	-11.73	-14.1699	-15.9648	-26.23	76.026	0.300000
4	1	-12.23	-14.8496	-16.1817	-26.8241	75.9841	0.300000
4	2	-13.34	-15.9149	-16.1817	-28.0839	75.8907	0.300000
4	3	-14.51	-17.1443	-16.1817	-29.4465	75.7916	0.300000
4	4	-15.72	-18.4495	-16.1817	-30.8721	75.6882	0.010000
4	5	-17.03	-19.7841	-16.1817	-32.4021	75.5754	0.010000
4	6	-18.46	-21.1541	-16.1817	-34.0458	75.4511	0.010000
4	7	-19.65	-22.1956	-16.1817	-35.4173	75.3467	0.300000
4	8	-20.51	-22.4351	-16.1817	-36.3835	75.2708	0.300000
4	9	-21	-22.8021	-16.1817	-36.9939	75.2273	0.300000
4	10	-20.25	-22.2134	-16.1817	-36.3179	75.2938	0.300000
4	11	-18.72	-21.2115	-16.1817	-34.8299	75.4283	0.300000
4	12	-16.31	-19.5225	-16.1817	-32.3903	75.6375	0.010000
4	13	-14.02	-17.789	-16.1817	-29.9991	75.8332	0.010000
4	14	-12.09	-16.3723	-16.1817	-27.9324	75.9958	0.010000
4	15	-10.39	-15.0814	-16.1817	-26.0526	76.1374	0.010000
4	16	-9.23	-14.3101	-16.1817	-24.7234	76.2331	0.300000
4	17	-7.84	-13.4784	-16.1817	-23.1424	76.3468	0.300000
4	18	-6.38	-12.4781	-16.1817	-21.451	76.4652	0.300000
4	19	-5.25	-11.6147	-16.1817	-20.0875	76.556	0.300000
4	20	-4.39	-10.4865	-16.1817	-18.9376	76.6247	0.300000
4	21	-3.97	-10.1159	-16.1817	-18.3546	76.6582	0.300000
4	22	-3.74	-9.94766	-16.1817	-18.0154	76.6764	0.300000
4	23	-3.88	-9.95853	-16.1817	-18.0939	76.6653	0.300000
4	24	-4.23	-10.1212	-16.1817	-18.4369	76.6375	0.300000
5	1	-4.5	-10.2896	-16.3926	-18.7431	76.616	0.010000
5	2	-4.7	-10.5409	-16.3926	-19.0344	76.6	0.010000
5	3	-4.62	-10.4843	-16.3926	-19.0383	76.6064	0.010000
5	4	-4.32	-10.1074	-16.3926	-18.8033	76.6303	0.010000
5	5	-4.2	-9.89313	-16.3926	-18.7875	76.6399	0.010000
5	6	-4.07	-9.72897	-16.3926	-18.7813	76.6502	0.010000
5	7	-3.97	-9.6926	-16.3926	-18.8272	76.6582	0.010000
5	8	-3.96	-9.3299	-16.3926	-18.8883	76.659	0.010000
5	9	-3.83	-9.30231	-16.3926	-18.8782	76.6693	0.010000
5	10	-3.66	-9.22745	-16.3926	-18.794	76.6828	0.010000
5	11	-3.42	-9.116	-16.3926	-18.6028	76.7018	0.010000
5	12	-3.13	-8.94806	-16.3926	-18.3157	76.7247	0.010000
5	13	-2.62	-8.51025	-16.3926	-17.7289	76.765	0.010000
5	14	-2.13	-8.00089	-16.3926	-17.1078	76.8035	0.010000
5	15	-1.79	-7.50412	-16.3926	-16.5957	76.8302	0.010000
5	16	-1.2	-6.67944	-16.3926	-15.7503	76.8763	0.300000
5	17	-0.33	-5.67606	-16.3926	-14.5767	76.944	0.300000
5	18	0.6	-4.75256	-16.3926	-13.3458	77.016	0.300000
5	19	1.19	-4.30496	-16.3926	-12.5378	77.0615	0.300000
5	20	1.59	-3.5152	-16.3926	-11.8436	77.0922	0.300000
5	21	1.82	-3.16708	-16.3926	-11.4276	77.1098	0.300000
5	22	1.73	-2.97549	-16.3926	-11.3799	77.1029	0.300000
5	23	1.77	-2.76663	-16.3926	-11.2375	77.106	0.300000
5	24	1.57	-2.74557	-16.3926	-11.4047	77.0906	0.300000
6	1	1.55	-2.60843	-16.5975	-11.412	77.0891	0.010000
6	2	1.53	-2.4729	-16.5975	-11.4569	77.0876	0.010000
6	3	1.5	-2.41165	-16.5975	-11.5618	77.0853	0.010000
6	4	1.43	-2.38095	-16.5975	-11.7395	77.0799	0.010000
6	5	1.45	-2.28116	-16.5975	-11.8346	77.0814	0.010000
6	6	1.46	-2.23587	-16.5975	-11.9621	77.0822	0.010000
6	7	1.26	-2.34213	-16.5975	-12.3254	77.0668	0.010000
6	8	1.37	-1.82593	-16.5975	-12.2381	77.0753	0.010000
6	9	1.11	-1.95187	-16.5975	-12.6341	77.0553	0.300000
6	10	0.9	-2.06418	-16.5975	-12.9515	77.0391	0.300000
6	11	1.09	-2.00546	-16.5975	-12.8139	77.0538	0.010000
6	12	1.1	-2.03833	-16.5975	-12.8316	77.0545	0.010000
6	13	0.89	-2.14154	-16.5975	-13.0363	77.0384	0.300000
6	14	0.76	-2.23486	-16.5975	-13.1248	77.0283	0.300000
6	15	0.77	-2.3353	-16.5975	-13.0476	77.0291	0.010000
6	16	0.84	-2.43805	-16.5975	-12.8861	77.0345	0.300000
6	17	1.47	-2.14642	-16.5975	-12.0796	77.083	0.300000
6	18	2.17	-1.82413	-16.5975	-11.188	77.1366	0.300000
6	19	2.99	-1.49207	-16.5975	-10.178	77.1991	0.300000
