#buildingId(key)	heatingNeeds(Wh)	coolingNeeds(Wh)
82(82):	1.65796e+09	0
81(81):	6.76991e+08	0
79(79):	2.58077e+08	0
78(78):	1.70576e+09	0
77(77):	3.30493e+09	0
76(76):	1.05656e+09	0
72(72):	7.94145e+08	0
71(71):	4.11204e+09	0
63(63):	3.33855e+08	0
62(62):	7.18728e+09	0
59(59):	7.52383e+08	0
54(54):	3.18196e+09	0
49(49):	6.17028e+08	0
48(48):	8.38501e+08	0
47(47):	6.26522e+08	0
46(46):	2.10614e+09	0
45(45):	6.30448e+08	0
44(44):	3.81021e+08	0
43(43):	6.19708e+08	0
40(40):	1.5996e+09	0
38(38):	1.37093e+09	0
36(36):	4.39063e+08	0
35(35):	1.32083e+08	0
