type	82(0)	81(0)	79(0)	78(0)	77(0)	76(0)	72(0)	71(0)	63(0)	62(0)	59(0)	54(0)	49(0)	48(0)	47(0)	46(0)	45(0)	44(0)	43(0)	40(0)	38(0)	36(0)	35(0)	
floorArea(m2)	2404.62	965.68	392.52	2707.01	6325.47	1852.41	2612	5926.12	1654.11	8159.91	1740.48	4155.78	877.982	7800.96	2616.5	2650.74	1030.03	506.138	839.428	1832.21	4171.44	5047.75	431.537	
floorNRE(MJ)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
floorGWP(kgCO2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
floorUBP(points)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
roofArea(m2)	2404.62	965.68	392.52	2707.01	6325.47	1852.41	2612	5926.11	1654.11	8159.91	1740.48	4155.78	877.982	7800.96	2616.5	2650.74	1030.03	506.138	839.428	1832.21	4171.44	5047.75	431.537	
roofPVArea(m2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
roofNRE(MJ)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
roofGWP(kgCO2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
roofUBP(points)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
wallArea(m2)	2095.36	1202.49	511.073	2325.62	4867.13	1990.73	432.257	5338.21	1613.59	7045.15	2012.16	4954.28	1260.52	797.917	2072.08	3757.36	1147.85	838.75	1282.09	3642.96	700.373	859.214	447.259	
wallPVArea(m2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
wallNRE(MJ)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
wallGWP(kgCO2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
wallUBP(points)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
windowsArea(m2)	698.454	400.83	170.358	775.207	1622.38	663.577	144.086	1779.4	537.864	2348.38	670.719	1651.43	420.174	265.972	690.694	1252.45	382.615	279.583	427.363	1214.32	233.458	286.405	149.086	
